"gRNA","RNA_snn_res.0.1","n","cluster"
"Pkhd1",3,91,"3"
"Pkhd1",4,85,"4"
"Pkhd1",5,41,"5"
"Pkhd1",6,10,"6"
"Pkhd1",7,14,"7"
"Pkhd1",8,4,"8"
"Pkhd1l1",0,265,"0"
"Pkhd1l1",1,281,"1"
"Pkhd1l1",2,187,"2"
"Pkhd1l1",3,111,"3"
"Pkhd1l1",4,56,"4"
"Pkhd1l1",5,41,"5"
"Pkhd1l1",6,12,"6"
"Pkhd1l1",7,4,"7"
"Pkhd1l1",8,7,"8"
"Plec",0,49,"0"
"Plec",1,118,"1"
"Plec",2,53,"2"
"Plec",3,19,"3"
"Plec",4,21,"4"
"Plec",5,7,"5"
"Plec",6,2,"6"
"Ppfia1",0,73,"0"
"Ppfia1",1,100,"1"
"Ppfia1",2,86,"2"
"Ppfia1",3,29,"3"
"Ppfia1",4,28,"4"
"Ppfia1",5,19,"5"
"Ppfia1",6,4,"6"
"Ppfia1",7,2,"7"
"Ppfia1",8,3,"8"
"Prex2",0,384,"0"
"Prex2",1,260,"1"
"Prex2",2,303,"2"
"Prex2",3,128,"3"
"Prex2",4,108,"4"
"Prex2",5,52,"5"
"Prex2",6,23,"6"
"Prex2",7,14,"7"
"Prex2",8,6,"8"
"Prkdc",0,160,"0"
"Prkdc",1,192,"1"
"Prkdc",2,127,"2"
"Prkdc",3,51,"3"
"Prkdc",4,64,"4"
"Prkdc",5,33,"5"
"Prkdc",6,6,"6"
"Prkdc",7,5,"7"
"Prkdc",8,3,"8"
"Ptprd",0,249,"0"
"Ptprd",1,194,"1"
"Ptprd",2,164,"2"
"Ptprd",3,71,"3"
"Ptprd",4,47,"4"
"Ptprd",5,33,"5"
"Ptprd",6,12,"6"
"Ptprd",7,8,"7"
"Ptprd",8,3,"8"
"Reln",0,123,"0"
"Reln",1,135,"1"
"Reln",2,128,"2"
"Reln",3,53,"3"
"Reln",4,56,"4"
"Reln",5,30,"5"
"Reln",6,14,"6"
"Reln",7,6,"7"
"Reln",8,3,"8"
"Ros1",0,328,"0"
"Ros1",1,283,"1"
"Ros1",2,201,"2"
"Ros1",3,108,"3"
"Ros1",4,73,"4"
"Ros1",5,39,"5"
"Ros1",6,21,"6"
"Ros1",7,11,"7"
"Ros1",8,5,"8"
"Rp1",0,318,"0"
"Rp1",1,223,"1"
"Rp1",2,213,"2"
"Rp1",3,105,"3"
"Rp1",4,67,"4"
"Rp1",5,47,"5"
"Rp1",6,13,"6"
"Rp1",7,9,"7"
"Rp1",8,3,"8"
"Runx1t1",0,308,"0"
"Runx1t1",1,285,"1"
"Runx1t1",2,258,"2"
"Runx1t1",3,109,"3"
"Runx1t1",4,71,"4"
"Runx1t1",5,46,"5"
"Runx1t1",6,19,"6"
"Runx1t1",7,15,"7"
"Runx1t1",8,5,"8"
"Ryr1",0,136,"0"
"Ryr1",1,201,"1"
"Ryr1",2,125,"2"
"Ryr1",3,77,"3"
"Ryr1",4,32,"4"
"Ryr1",5,32,"5"
"Ryr1",6,7,"6"
"Ryr1",7,7,"7"
"Ryr1",8,3,"8"
"Ryr2",0,189,"0"
"Ryr2",1,189,"1"
"Ryr2",2,166,"2"
"Ryr2",3,80,"3"
"Ryr2",4,50,"4"
"Ryr2",5,24,"5"
"Ryr2",6,13,"6"
"Ryr2",7,5,"7"
"Ryr2",8,4,"8"
"Ryr3",0,407,"0"
"Ryr3",1,287,"1"
"Ryr3",2,211,"2"
"Ryr3",3,141,"3"
"Ryr3",4,85,"4"
"Ryr3",5,39,"5"
"Ryr3",6,21,"6"
"Ryr3",7,13,"7"
"Ryr3",8,4,"8"
"Scn9a",0,222,"0"
"Scn9a",1,248,"1"
"Scn9a",2,199,"2"
"Scn9a",3,76,"3"
"Scn9a",4,71,"4"
"Scn9a",5,28,"5"
"Scn9a",6,20,"6"
"Scn9a",7,7,"7"
"Scn9a",8,4,"8"
"Shank2",0,334,"0"
"Shank2",1,275,"1"
"Shank2",2,278,"2"
"Shank2",3,125,"3"
"Shank2",4,101,"4"
"Shank2",5,50,"5"
"Shank2",6,26,"6"
"Shank2",7,16,"7"
"Shank2",8,6,"8"
"Sis",0,120,"0"
"Sis",1,147,"1"
"Sis",2,116,"2"
"Sis",3,40,"3"
"Sis",4,40,"4"
"Sis",5,21,"5"
"Sis",6,3,"6"
"Sis",7,9,"7"
"Sis",8,3,"8"
"Slit2",0,148,"0"
"Slit2",1,139,"1"
"Slit2",2,122,"2"
"Slit2",3,57,"3"
"Slit2",4,37,"4"
"Slit2",5,23,"5"
"Slit2",6,8,"6"
"Slit2",7,3,"7"
"Slit2",8,1,"8"
"Sox2",0,314,"0"
"Sox2",1,188,"1"
"Sox2",2,162,"2"
"Sox2",3,79,"3"
"Sox2",4,57,"4"
"Sox2",5,40,"5"
"Sox2",6,25,"6"
"Sox2",7,7,"7"
"Sox2",8,7,"8"
"Spag17",0,306,"0"
"Spag17",1,282,"1"
"Spag17",2,263,"2"
"Spag17",3,100,"3"
"Spag17",4,78,"4"
"Spag17",5,48,"5"
"Spag17",6,10,"6"
"Spag17",7,16,"7"
"Spag17",8,1,"8"
"Sphkap",0,648,"0"
"Sphkap",1,372,"1"
"Sphkap",2,478,"2"
"Sphkap",3,172,"3"
"Sphkap",4,86,"4"
"Sphkap",5,88,"5"
"Sphkap",6,52,"6"
"Sphkap",7,8,"7"
"Sphkap",8,14,"8"
"Spta1",0,262,"0"
"Spta1",1,259,"1"
"Spta1",2,176,"2"
"Spta1",3,70,"3"
"Spta1",4,66,"4"
"Spta1",5,38,"5"
"Spta1",6,10,"6"
"Spta1",7,5,"7"
"Spta1",8,5,"8"
"Syne1",0,129,"0"
"Syne1",1,134,"1"
"Syne1",2,114,"2"
"Syne1",3,57,"3"
"Syne1",4,34,"4"
"Syne1",5,18,"5"
"Syne1",6,6,"6"
"Syne1",7,7,"7"
"Syne1",8,4,"8"
"Syne2",0,103,"0"
"Syne2",1,106,"1"
"Syne2",2,103,"2"
"Syne2",3,50,"3"
"Syne2",4,45,"4"
"Syne2",5,27,"5"
"Syne2",6,6,"6"
"Syne2",7,3,"7"
"Syne2",8,1,"8"
"Tenm1",0,181,"0"
"Tenm1",1,147,"1"
"Tenm1",2,144,"2"
"Tenm1",3,56,"3"
"Tenm1",4,49,"4"
"Tenm1",5,22,"5"
"Tenm1",6,10,"6"
"Tenm1",7,6,"7"
"Tenm1",8,1,"8"
"Tet1",0,139,"0"
"Tet1",1,192,"1"
"Tet1",2,180,"2"
"Tet1",3,64,"3"
"Tet1",4,88,"4"
"Tet1",5,27,"5"
"Tet1",6,10,"6"
"Tet1",7,11,"7"
"Tet1",8,2,"8"
"Thsd7a",0,142,"0"
"Thsd7a",1,136,"1"
"Thsd7a",2,138,"2"
"Thsd7a",3,43,"3"
"Thsd7a",4,61,"4"
"Thsd7a",5,26,"5"
"Thsd7a",6,7,"6"
"Thsd7a",7,2,"7"
"Thsd7a",8,2,"8"
"Tnni3k",0,174,"0"
"Tnni3k",1,188,"1"
"Tnni3k",2,130,"2"
"Tnni3k",3,57,"3"
"Tnni3k",4,48,"4"
"Tnni3k",5,25,"5"
"Tnni3k",6,9,"6"
"Tnni3k",7,5,"7"
"Tnni3k",8,1,"8"
"Tnxb",0,350,"0"
"Tnxb",1,349,"1"
"Tnxb",2,291,"2"
"Tnxb",3,136,"3"
"Tnxb",4,111,"4"
"Tnxb",5,50,"5"
"Tnxb",6,36,"6"
"Tnxb",7,15,"7"
"Tnxb",8,15,"8"
"Tpcn2",0,257,"0"
"Tpcn2",1,150,"1"
"Tpcn2",2,144,"2"
"Tpcn2",3,96,"3"
"Tpcn2",4,49,"4"
"Tpcn2",5,35,"5"
"Tpcn2",6,5,"6"
"Tpcn2",7,6,"7"
"Tpcn2",8,9,"8"
"Trp53",0,1027,"0"
"Trp53",1,681,"1"
"Trp53",2,682,"2"
"Trp53",3,379,"3"
"Trp53",4,255,"4"
"Trp53",5,192,"5"
"Trp53",6,54,"6"
"Trp53",7,45,"7"
"Trp53",8,12,"8"
"Trp63",0,3,"0"
"Trp63",1,6,"1"
"Trp63",2,4,"2"
"Trp63",3,2,"3"
"Trp63",4,5,"4"
"Trp63",7,2,"7"
"Ttn",0,420,"0"
"Ttn",1,265,"1"
"Ttn",2,214,"2"
"Ttn",3,181,"3"
"Ttn",4,114,"4"
"Ttn",5,47,"5"
"Ttn",6,28,"6"
"Ttn",7,17,"7"
"Ttn",8,6,"8"
"Unc13c",0,157,"0"
"Unc13c",1,205,"1"
"Unc13c",2,149,"2"
"Unc13c",3,74,"3"
"Unc13c",4,40,"4"
"Unc13c",5,23,"5"
"Unc13c",6,13,"6"
"Unc13c",7,10,"7"
"Unc13c",8,3,"8"
"Ush2a",0,180,"0"
"Ush2a",1,222,"1"
"Ush2a",2,173,"2"
"Ush2a",3,77,"3"
"Ush2a",4,69,"4"
"Ush2a",5,31,"5"
"Ush2a",6,11,"6"
"Ush2a",7,3,"7"
"Ush2a",8,1,"8"
"Vcan",0,369,"0"
"Vcan",1,339,"1"
"Vcan",2,240,"2"
"Vcan",3,140,"3"
"Vcan",4,63,"4"
"Vcan",5,49,"5"
"Vcan",6,19,"6"
"Vcan",7,12,"7"
"Vcan",8,8,"8"
"Vps13b",0,473,"0"
"Vps13b",1,393,"1"
"Vps13b",2,328,"2"
"Vps13b",3,158,"3"
"Vps13b",4,93,"4"
"Vps13b",5,60,"5"
"Vps13b",6,10,"6"
"Vps13b",7,22,"7"
"Vps13b",8,5,"8"
"Xirp2",0,434,"0"
"Xirp2",1,351,"1"
"Xirp2",2,371,"2"
"Xirp2",3,131,"3"
"Xirp2",4,136,"4"
"Xirp2",5,69,"5"
"Xirp2",6,12,"6"
"Xirp2",7,15,"7"
"Xirp2",8,7,"8"
"Zfhx4",0,433,"0"
"Zfhx4",1,275,"1"
"Zfhx4",2,272,"2"
"Zfhx4",3,165,"3"
"Zfhx4",4,91,"4"
"Zfhx4",5,63,"5"
"Zfhx4",6,20,"6"
"Zfhx4",7,13,"7"
"Zfhx4",8,11,"8"
"Zfp469",0,164,"0"
"Zfp469",1,167,"1"
"Zfp469",2,95,"2"
"Zfp469",3,56,"3"
"Zfp469",4,41,"4"
"Zfp469",5,28,"5"
"Zfp469",6,6,"6"
"Zfp469",7,6,"7"
"Zfp469",8,5,"8"
"Zfp78",0,261,"0"
"Zfp78",1,258,"1"
"Zfp78",2,192,"2"
"Zfp78",3,109,"3"
"Zfp78",4,50,"4"
"Zfp78",5,31,"5"
"Zfp78",6,11,"6"
"Zfp78",7,12,"7"
"Zfp78",8,8,"8"
"Zfp804b",0,201,"0"
"Zfp804b",1,251,"1"
"Zfp804b",2,180,"2"
"Zfp804b",3,73,"3"
"Zfp804b",4,79,"4"
"Zfp804b",5,38,"5"
"Zfp804b",6,7,"6"
"Zfp804b",7,18,"7"
"Zfp804b",8,1,"8"
"Zfp831",0,240,"0"
"Zfp831",1,184,"1"
"Zfp831",2,171,"2"
"Zfp831",3,83,"3"
"Zfp831",4,45,"4"
"Zfp831",5,47,"5"
"Zfp831",6,9,"6"
"Zfp831",7,5,"7"
"Zfp831",8,3,"8"
"Zmat3",0,196,"0"
"Zmat3",1,166,"1"
"Zmat3",2,117,"2"
"Zmat3",3,50,"3"
"Zmat3",4,55,"4"
"Zmat3",5,22,"5"
"Zmat3",6,11,"6"
"Zmat3",7,2,"7"
"Zmat3",8,3,"8"
"ctrl",0,4267,"0"
"ctrl",1,3823,"1"
"ctrl",2,3503,"2"
"ctrl",3,1482,"3"
"ctrl",4,1199,"4"
"ctrl",5,690,"5"
"ctrl",6,242,"6"
"ctrl",7,197,"7"
"ctrl",8,70,"8"
