sgRNA	Gene	IgG_1_2	IgG_2_2	IgG_3_2	IgG_4_2	IgG_5_2	IgG_6_2	TNF_1_2	TNF_2_2	TNF_3_2	TNF_4_2	TNF_5_2	TNF_6_2	CD48_1_2	CD48_2_2	CD48_3_2	CD48_4_2	CD48_5_2	CD48_6_2	CD115_1_2	CD115_2_2	CD115_3_2	CD115_4_2	CD115_5_2	CD115_6_2	IgG_1_1	IgG_2_1	IgG_3_1	IgG_4_1	IgG_5_1	IgG_6_1	IgG_7_1	IgG_8_1	CD115_1_1	CD115_2_1	CD115_3_1	CD115_4_1	CD115_5_1	CD115_6_1	CD115_7_1	CD115_8_1	CD48_1_1	CD48_2_1	CD48_3_1	CD48_4_1	CD48_5_1	CD48_6_1	TNF_1_1	TNF_2_1	TNF_3_1	TNF_4_1	TNF_5_1	TNF_6_1
Trp53	Trp53	1687	5492	7109	6055	24412	26369	985	4923	1052	4669	102279	10901	17604	29663	6291	3515	1376	23369	114020	648	266045	7783	44145	4066	165202	513332	22191	41036	25274	27356	2969	127437	514466	54195	132773	333525	74971	13499	403467	2200266	1009310	223091	149353	1140201	42346	15480	3149	119715	7010	25327	2912	14506
Trp63	Trp63	33	144	157	90	1	3	13	218	11	49	192	2255	234	661	20	0	2	835	47	1	0	1	255	27	16	294	1487	664	0	1	42	69	1893	3063	7137	4083	361	304	7038	77479	34	33	122	5896	78	11	8	176	0	0	25	74
Ttn	Ttn	160	108	726	888	32	2147	183	379	435	703	32485	352	10007	1883	96	5003	67	2220	9784	269	8768	919	112	48	50105	17972	6641	6537	4784	16509	266	1192	185534	9414	46989	183784	12265	2228	28824	436659	51034	66925	1256	23555	10770	3763	611	14952	464	2618	210	3038
Unc13c	Unc13c	1130	640	845	820	66460	1664	1181	8518	3241	5092	4745	7014	3083	27	411	33	906	16752	8972	222	58224	305	281	131	132765	101867	2171	20109	1482	14441	135	10990	69156	4320	20372	34370	13478	3383	8049	702821	218752	12206	1693	63711	20084	769	645	15015	3548	9535	312	11889
Ush2a	Ush2a	93	103	254	22	24	6	170	1274	95	1782	14833	2464	7151	1912	117	2030	136	2563	16255	516	41219	1900	2121	94	61832	54593	1744	5869	2114	20813	1832	2044	48413	2892	49929	117693	16422	2717	64584	545550	46496	5116	1440	124796	5669	727	1345	90495	142	3259	1182	8235
Vcan	Vcan	90	238	3599	861	71	8868	118	753	235	87	44803	4220	10794	1155	210	20334	911	4972	10102	134	95803	2333	989	222	47993	24235	7977	45285	4107	9619	662	63790	159351	38577	82169	67393	4470	2540	55865	461488	54873	78265	1622	8423	8455	3249	1398	29831	1197	8754	492	18321
Vps13b	Vps13b	1107	712	16	6	28	16	103	808	90	40	22333	220	3118	15	46	2335	3755	3751	7252	264	2212	329	297	621	73737	42960	2402	5196	3473	5873	478	10797	93841	40408	49322	95418	22278	2254	94089	392295	21684	881	1077	36612	3717	1502	687	22989	447	8569	395	5255
Xirp2	Xirp2	20	59	1056	8	90	4374	119	219	2325	6051	54755	1086	3262	45	20150	1593	400	21874	4278	33	22872	229	2943	98	86108	60835	5339	18568	2943	15750	1089	15756	349569	40533	73047	358504	23527	2986	130846	430951	198915	52093	2606	13248	11111	3727	1988	64088	3246	9249	499	19895
Zfhx4	Zfhx4	944	277	420	28	51	11546	23	8	684	2625	3791	2438	4020	18	141	5614	44	7127	1796	544	70417	223	514	549	115451	46696	2927	17877	1049	10000	1474	10215	78067	16051	137648	33895	10843	1247	116516	100235	34225	4200	1687	2386	3693	822	820	21675	173	3383	705	10509
Zfp469	Zfp469	89	66	51	215	4590	4241	280	18	4529	9537	5837	3843	3898	33	340	3861	101	11775	7566	534	2172	31	5778	542	86102	64451	1830	11001	5177	6463	1223	20007	43584	34673	77903	51819	23067	2133	45463	326690	187233	45051	2742	185832	6884	2079	2565	31964	402	16424	320	4653
Zfp78	Zfp78	366	902	1167	778	2591	3264	477	855	888	768	69277	496	10493	1592	83	1075	401	1161	7163	785	23839	48	3581	353	137540	139194	5148	17840	2883	3755	2092	28206	203099	7749	55881	157002	9284	3146	115350	466855	66341	36889	1865	87995	8417	1453	1947	40082	321	14377	710	13981
Zfp804b	Zfp804b	236	474	497	302	159	463	230	2063	792	4675	40324	5340	4041	19	2523	8668	7044	3109	5969	72	2764	104	637	116	57430	48135	6642	6175	763	8795	1791	2299	78331	15172	95879	85385	3537	1771	75830	294666	44025	3232	1282	3796	6379	895	1947	17866	262	2544	425	12003
Zfp831	Zfp831	909	819	551	1695	4065	454	862	3702	298	1919	39314	1868	8275	16291	837	1277	357	36900	17894	85	2364	93	1485	806	266932	60917	5860	36197	12921	22310	2308	70308	108516	69290	69574	312369	21986	5354	62967	1213003	119322	15342	6384	126090	5507	2634	2602	39300	682	14557	560	45713
Zmat3	Zmat3	122	515	347	701	3952	45696	126	191	318	2543	77191	2957	6709	44	93	1812	130	15078	3304	2049	2225	3679	633	2553	107579	52115	9045	19022	7542	6964	318	8836	150041	12179	48689	52462	10628	1947	21171	394346	153966	1207	3925	18590	3202	3372	2527	46379	1451	8347	1239	13021
