"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ctrl_sgRNA.45",3289.30667955749,2.29615885017361,0.575796082172278,3.98779866912433,6.66892203718335e-05,0.00333446101859168
"ctrl_sgRNA.28",31804.0015552625,-3.27668358933764,0.979020991033345,-3.3468981966149,0.000817212160977349,0.016344243219547
"ctrl_sgRNA.42",7549.82432244716,-0.791820785089894,0.691778073327085,-1.14461677179454,0.252367941596388,0.689875350426765
"ctrl_sgRNA.22",10966.1138298198,-2.07738129811491,0.689423481986435,-3.01321517527857,0.00258495562792008,0.0397685481218474
"ctrl_sgRNA.17",6973.2442167354,-0.400348140059933,0.863447355917891,-0.46366247729642,0.642889584509759,0.901790355290197
"ctrl_sgRNA.43",5147.38024937823,-2.10364807877687,0.654541636296889,-3.21392553524692,0.00130933624572371,0.0231479927474358
"ctrl_sgRNA.31",1694.32422757907,-2.02647141283702,0.770036817704056,-2.63165522251151,0.00849700425850634,0.106212553231329
"ctrl_sgRNA.26",3014.06122537249,-0.0268341719598618,0.729784420840611,-0.0367699983632872,0.970668395702487,0.970668395702487
"ctrl_sgRNA.27",3441.1650929415,-3.07973670517041,0.562146565328739,-5.47852979119316,4.288743873109e-08,8.577487746218e-06
"ctrl_sgRNA.38",5997.13000044974,-0.442302148038053,0.613516112692929,-0.72092996237155,0.470952607113759,0.848563256060827
"ctrl_sgRNA.20",6214.25541875932,2.68837715968761,0.697019490601395,3.85696124131056,0.000114805357767235,0.00459221431068939
"ctrl_sgRNA.2",2022.27777912651,-1.45355480868739,0.763334999914806,-1.90421611592501,0.0568820436816456,0.399552318969309
"ctrl_sgRNA.3",2099.53853726427,-2.80740577208464,0.825282164703666,-3.4017526273486,0.000669552135039883,0.0148789363342196
"ctrl_sgRNA.15",7431.72001545169,-1.36765312593317,0.63062366532667,-2.16873105328946,0.0301031083647376,0.316874824891975
"ctrl_sgRNA.41",3405.71219573502,-2.38928352300848,0.683249882090032,-3.49693953213686,0.000470628495601413,0.0128841814260031
"ctrl_sgRNA.35",1261.76088082054,1.16072331802565,0.769919062472195,1.50759134901608,0.131659148216676,0.461961923567286
"ctrl_sgRNA.21",1827.7872744324,-0.138317686377508,0.699169378070809,-0.197831442159498,0.84317694503209,0.921504857958568
"ctrl_sgRNA.37",3916.26138193704,-1.64179324463,0.637146015281595,-2.57679276845887,0.00997217163967884,0.117319666349163
"ctrl_sgRNA.44",8418.13376909544,-1.82501651395595,0.525541610885245,-3.47263941837415,0.000515367257040123,0.0128841814260031
"ctrl_sgRNA.50",2876.63535106543,-0.14187561476453,0.782103480093661,-0.181402612794332,0.856051568189171,0.925461154799104
"ctrl_sgRNA.24",10829.4292513698,0.154132649446704,0.706751922679496,0.218085928740517,0.827362160785553,0.921504857958568
"ctrl_sgRNA.13",3424.12516067167,-0.151107731327005,0.665359470184849,-0.227106907015278,0.820340613348562,0.921504857958568
"ctrl_sgRNA.49",4481.60915196531,0.437703862984264,0.586353551564096,0.746484543014518,0.45537476540887,0.840182712759893
